fighter,victoria_%,binning,Height,Weight,SLpM,Str_Acc_%,SApM,Str_Def_%,TD_Avg,TD_Acc_%,TD_Def_%,Sub_Avg,Stance_Orthodox,Stance_Southpaw
Scott Morris,100,1,177,210,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Fred Ettish,0,0,182,180,0.0,0,0.0,0,0.0,0,0,0.0,0,1
Thaddeus Luster,0,0,190,210,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Scott Baker,0,0,182,210,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Alberta Cerra Leon,0,0,172,238,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Robert Lucarelli,0,0,187,245,0.0,0,0.0,0,0.0,0,0,0.0,1,0
David Levicki,0,0,195,275,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Minoki Ichihara,0,0,170,178,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Sean Daugherty,0,0,182,175,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Johnny Rhodes,0,0,182,210,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Orlando Wiet,0,0,177,170,0.0,0,0.0,0,0.0,0,0,0.0,0,1
Roland Payne,0,0,175,205,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Emmanuel Yarborough,0,0,203,770,0.0,0,0.0,0,0.0,0,0,0.0,0,0
Ron van Clief,0,0,177,190,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Joe Son,0,0,162,236,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Melton Bowen,0,0,182,225,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Jason Fairn,0,0,185,230,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Marcus Bossett,0,0,185,215,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Andy Anderson,0,0,167,240,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Ernie Verdicia,0,0,180,199,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Jon Hess,0,0,200,295,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Todd Medina,0,0,177,193,0.0,0,0.0,0,0.0,0,0,0.0,0,1
Asbel Cancio,0,0,177,225,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Patrick Smith,75,1,187,225,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Rudyard Moncayo,0,0,177,195,0.0,0,0.0,0,0.0,0,0,0.0,1,0
John Matua,0,0,187,400,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Anthony Macias,0,0,175,185,0.0,0,0.0,0,0.0,0,0,0.0,0,0
Harold Howard,50,0,187,240,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Larry Cureton,0,0,187,240,0.0,0,0.0,0,0.0,0,0,0.0,1,0
David Hood,0,0,182,200,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Gerry Harris,0,0,203,270,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Scott Bessac,0,0,193,245,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Remco Pardoel,67,1,190,260,0.0,0,0.0,0,0.0,0,0,0.0,0,1
Ryan Parker,0,0,190,235,0.0,0,0.0,0,0.0,0,0,0.0,0,1
Keith Hackney,67,1,180,200,0.0,0,0.0,0,0.0,0,0,0.0,0,0
Oleg Taktarov,71,1,182,210,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Steve Jennum,100,1,177,215,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Thomas Ramirez,0,0,185,410,0.0,0,0.0,0,0.0,0,0,0.0,0,0
Paul Herrera,0,0,177,185,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Matt Andersen,0,0,187,230,0.0,0,0.0,0,0.0,0,0,0.0,0,1
Zane Frazier,0,0,195,250,0.0,0,0.0,0,0.0,0,0,0.0,1,0
